origin,time_minutes,osmnx_area_ha,mapbox_area_ha,intersection_ha,union_ha,overlap_ratio,osmnx_larger_pct
Amsterdam Centraal,15,162.01663239976457,247.52502097577923,161.78829489054948,247.75335848499438,0.6530216013210915,-34.54535151191111
Amsterdam Centraal,10,78.24612407271741,112.96359619168544,78.1295713533754,113.08014891102754,0.6909220770026439,-30.733327628890915
Amsterdam Centraal,5,22.60926066541317,30.65061474079413,22.46444680236173,30.79542860384547,0.7294734257914035,-26.235539297939102
Amsterdam Zuid,15,142.81390440156218,289.5065612792654,142.8114307202709,289.50903496055656,0.4932883380987673,-50.669890253782455
Amsterdam Zuid,10,59.73505344374787,118.41750086044732,59.03091257259996,119.12164173159522,0.495551536349779,-49.55555301395488
Amsterdam Zuid,5,18.37748892271555,28.647621438222647,18.12620078629507,28.898909574643064,0.6272278453786244,-35.849861174876914
Sloterdijk,15,119.46899120015068,295.7609357032381,119.31523001244436,295.9146968909448,0.40320819231366634,-59.60623031027193
Sloterdijk,10,65.49461997087944,127.81363384137144,65.27814750032893,128.03010631192166,0.5098656041204153,-48.75772012540983
Sloterdijk,5,21.526073155004447,30.60083345155536,20.336897711307966,31.79000889525155,0.639726078036602,-29.655271680483157
Dam Square,15,220.14636997376675,305.4507617393825,217.09296109559676,308.50417061755303,0.7036953849311909,-27.927378959493105
Dam Square,10,106.95927164905503,133.28976033007325,100.5381805338518,139.71085144527675,0.7196161178162422,-19.754322174347454
Dam Square,5,29.111558483154205,33.02686202644464,25.592422156031088,36.54599835356777,0.7002797381107159,-11.854906288570346
Muiderpoort,15,133.22616182876473,339.2039283606772,133.22613165926987,339.20395853017243,0.39276113473604796,-60.72387413889124
Muiderpoort,10,56.80338278923243,152.01487724040243,56.803382789232316,152.0148772404024,0.3736698921869415,-62.633010781305785
Muiderpoort,5,11.888205723251396,43.27602818608474,11.888205723251387,43.276028186084744,0.2747064881308585,-72.52935118691413
